0,1,2,3,4
In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints
"Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date"
9.0,SN2015ar,Ia,'2015-11-11,
9.0,SN2009Y,Ia,'2009-02-01,
9.0,iPTF13dge,Ia,,
9.0,iPTF13ebh,Ia,,
9.0,SN2007pk,IIn,'2007-11-10,x
9.0,SN2010al,IIn,'2010-03-13,
8.0,PTF09cnd,SLSN-I,,
8.0,SNF20080514002,Ia,,
8.0,SN2009gf,Ia,'2009-06-15,
8.0,ASASSN-14jb,II,,
8.0,SN2010Y,Ia,'2010-02-08,
8.0,SN2011dn,Ia-91T,'2011-06-21,
8.0,PTF12mkp,SLSN-II,,
8.0,SN2016ccj,Ia-SC,'2016-05-03 10:04:48.000,
8.0,SN2012dn,Ia-SC,'2012-07-08,56114
8.0,SN2013gy,Ia,'2013-12-06,
8.0,SN2016aps,SLSN-II?,'2016-02-22 11:03:56.000,
8.0,SN2013cs,Ia,'2013-05-14,
8.0,SN2017erp,Ia,'2017-06-13 15:01:28.000,
8.0,SN2013E,Ia,'2013-01-04,
8.0,SN2015bf,IIn,'2015-12-12,
8.0,SN2018hna,II-87A,'2018-10-22 19:33:07.000,
8.0,SN2007cq,Ia-91T,'2007-06-21,
7.0,SN2013cu,IIb,'2013-05-05,
7.0,SN2009an,Ia,'2009-02-27,
7.0,SN2016coj,Ia,'2016-05-28 04:39:05.000,
7.0,PTF10icb,Ia,,
7.0,SN2009kr,IIn/L?,'2009-11-06,
7.0,SN2016ekg,Ia,'2016-07-27 06:35:41.000,
7.0,SN2013dy,Ia,'2013-07-10,
7.0,SN2018oh, Ia,'2018-02-04 11:45:36.000,
7.0,SN2016B,II,'2016-01-03 14:52:48.000,2457382.0 ± 1.2 (JD)^3
7.0,SN2013ex,Ia,'2013-08-19,
7.0,SN2008ij,II,'2008-12-19,x
7.0,SN2016aqf,II,'2016-02-26 04:33:36.000,MJD 57440.19 ± 4
7.0,SN2005cf,Ia,'2005-05-28,
7.0,ASASSN-15ti,Ia,,
7.0,SN2012bl,Ia,'2012-03-26,
6.0,SN2006at,II,'2006-03-08,x
6.0,SN2011ef,IIb,'2011-07-18,
6.0,SN2013gh,Ia,'2013-08-08,
6.0,SN2012Z,Ia-02cx,'2012-01-29,
6.0,SN2013hx,SLSN-II,'2013-12-31,
