name,type,redshift,modulus
SN2013ai,IIP,0.009143,32.90288269554115
SN2013ak,II,0.003402,30.756338376653247
SN2013am,II,0.002692,30.24770519145401
SN2013bs,Ia,0.027612,35.30296462816736
SN2013bu,II,0.002722,30.27178831161296
SN2013by,IIn/IIL,0.003816,31.00546764012869
SN2013cg,Ia,0.007952,32.59986877318465
SN2013cj,IIn,0.032162,35.6341731535786
SN2013cj,IIn,0.032162,35.6341731535786
SN2013cs,Ia,0.00924,32.92652014675482
SN2013cu,SNIIb,0.025,35.107382179639686
SN2013cu,IIb,0.025,35.107382179639686
SN2013cv,Ia,0.035,35.81783588215634
SN2013df,II,0.002388,29.987902629382937
SN2013dh,Iax,0.013356,33.725807861880064
SN2013dk,Ic,0.005477,31.790203281760768
SN2013dn,IIn,0.056185,36.84556368158479
SN2013dy,Ia,0.003889,31.497
SN2013E,Ia,0.009413,32.966122564935304
SN2013eh,Ia,0.034999,35.81762892743524
SN2013ej,II,0.002192,29.801164365642563
SN2013ek,Ib,0.015577,34.05992192067422
SN2013el,Ib,0.017475,34.30957951008339
SN2013eu,Ia,0.009266,32.93199872485164
SN2013ex,Ia,0.010441,33.1910592055759
SN2013F,Ib/c,0.005013,31.5981324207782
SN2013fn,Ia,0.027,35.25227473339674
SN2013fs,SNII,0.0118,33.46692463519007
SN2013fs,IIn/IIP,0.0118,33.46692463519007
SN2013fv,II,0.01,33.19452524367733
SN2013fw,Ia,0.01695,34.24351082141541
SN2013fy,Ia,0.03,35.54498499366305
SN2013gd,II,0.0134,33.735007883358215
SN2013ge,Ic,0.004356,31.29305340253893
SN2013gh,Ia,0.0088,32.817240615586485
SN2013gs,Ia,0.016888,34.235377154777865
SN2013gy,Ia,0.014023,33.83165105462468
SN2013hh,Ia-91T,0.012989,33.66531725376372
SN2013hn,Ia,0.01514,33.998138431557905
SN2013hx,SLSN-II,0.13,
SN2013I,IIn,0.03527,35.83453404818912
SN2013L,IIn,0.016992,34.24863222098164
SN2013Q,Ia,0.017239,34.27995004277879
SN2014A,IIP,0.005811,31.91857827120188
SN2014ad,Ic-BL,0.005723,31.71895700388056
SN2014ai,Ia,0.023176,34.922636566718964
SN2014ao,Ia,0.014083,33.84092866270184
SN2014ap,Ia,0.023516,34.95428310280065
SN2014as,Ic,0.012469,33.57653400305772
SN2014at,Ia,0.032242,35.62243055369697
SN2014ba,Ia-91bg,0.005841,31.929768248260885
SN2014bc,IIP,0.001494,28.969727587834377
SN2014bv,Ia,0.005594,32.16
SN2014C,Ib,0.0027,30.27178831161296
SN2014cd,Ia,0.020608,34.66757703767082
SN2014cn,SNII,0.012762,33.62706234630004
SN2014cn,II,0.012762,33.62706234630004
SN2014cp,Ic-BL,0.0162,34.1402545668511
SN2014cx,II,0.00549,31.79548667222491
SN2014df,Ib,0.003896,31.05055173172556
SN2014dg,Ia,0.004003,31.10924374808178
SN2014dt,Ia-02cx,0.005224,31.68729630645328
SN2014eg,Ia-91T,0.018633,34.448842174668584
SN2014eh,Ic,0.010207,33.22683839439647
SN2014ek,Ia-02cx,0.023126,34.91794351883752
SN2014es,IIn,0.019644,34.563545289442
SN2014G,IIL,0.004503,31.365006360318688
SN2014gd,Ia,0.018283,34.40763652820466
SN2014ge,Ib,0.001891,29.481252812308192
SN2014gf,IIn/Ia-CSM,0.016,
SN2014I,Ia,0.03,35.484067461991394
SN2014J,Ia,0.000677,27.250817707409723
SN2014L,Ic,0.008029,32.62071796921881
SN2014R,Ia,0.025,35.10048222178476
SN2015ah,Ib,0.016,34.13531990993876
SN2015ak,Ia,0.01037,33.176441128059615
SN2015an,IIP,0.008166,32.65739458521128
SN2015ap,Ib,0.011375,33.37710941280615
SN2015ar,Ia,0.017005,34.2503366735099
SN2015as,II,0.003646,30.90643832759217
SN2015bf,IIn,0.014227,33.862932695361366
SN2015bh,LBVgoneSN?,0.006494,32.16016727544382
